HBL-010Crm:SC-FSM-700:ON, HBL-010Crm:SC-FSM-700:Opened
HBL-010Crm:SC-FSM-701:OpMode_Forced, HBL-010Crm:SC-FSM-700:OpMode_Manual
HBL-010Crm:SC-FSM-702:ON, HBL-010Crm:SC-FSM-702:Opened
HBL-010CDL:SC-PID-82303:MAN_SP, HBL-010CDL:Cryo-PID-82303:MAN_SP
HBL-010CDL:SC-PID-82303:ProcValueName, HBL-010CDL:Cryo-PID-82303:ProcValueName
HBL-010CDL:SC-PID-82304:MAN_SP, HBL-010CDL:Cryo-PID-82304:MAN_SP
HBL-010CDL:SC-PID-82304:Meas1_Name, HBL-010CDL:Cryo-PID-82304:Meas1_Name
HBL-010CDL:SC-PID-82304:Meas2_Name, HBL-010CDL:Cryo-PID-82304:Meas2_Name
HBL-010CDL:SC-PID-82304:Meas3_Name, HBL-010CDL:Cryo-PID-82304:Meas3_Name
HBL-010CDL:SC-PID-82305:PID_DIF, HBL-010CDL:Cryo-PID-82305:PID_DIF
HBL-010CDL:SC-PID-82305:PV, HBL-010CDL:Cryo-PID-82305:PV
HBL-010CDL:SC-PID-82305:MAN_SP, HBL-010CDL:Cryo-PID-82305:MAN_SP
HBL-010CDL:SC-PID-82305:FB_Setpoint, HBL-010CDL:Cryo-PID-82305:FB_Setpoint
HBL-010CDL:SC-PID-82306:LMN_P, HBL-010CDL:Cryo-PID-82306:LMN_P
HBL-010CDL:SC-PID-82306:ProcValueEGU, HBL-010CDL:Cryo-PID-82306:ProcValueEGU
HBL-010CDL:SC-PID-82306:MoveInterlock, HBL-010CDL:Cryo-PID-82306:MoveInterlock
HBL-010CDL:SC-PID-82306:FB_Setpoint, HBL-010CDL:Cryo-PID-82306:FB_Setpoint
HBL-010CDL:SC-PID-82360:LMN_D, HBL-010CDL:Cryo-PID-82360:LMN_D
HBL-010CDL:SC-PID-82360:PV, HBL-010CDL:Cryo-PID-82360:PV
HBL-010CDL:SC-PID-82360:MAN_SP, HBL-010CDL:Cryo-PID-82360:MAN_SP
HBL-010CDL:SC-PID-82361:LMN_D, HBL-010CDL:Cryo-PID-82361:LMN_D
HBL-010CDL:SC-PID-82361:ProcValueEGU, HBL-010CDL:Cryo-PID-82361:ProcValueEGU
HBL-010CDL:SC-PID-82361:FB_Step, HBL-010CDL:Cryo-PID-82361:FB_Step
HBL-010CDL:SC-PID-82361:FB_Manipulated, HBL-010CDL:Cryo-PID-82361:FB_Manipulated
HBL-010CDL:SC-PID-82362:LMN_D, HBL-010CDL:Cryo-PID-82362:LMN_D
HBL-010CDL:SC-PID-82362:MoveInterlock, HBL-010CDL:Cryo-PID-82362:MoveInterlock
HBL-010Crm:SC-PID-001:LMN_I, HBL-010Crm:SC-PID-001:LMN_I
HBL-010Crm:SC-PID-001:MAN_SP, HBL-010Crm:SC-PID-001:MAN_SP
